city,temperature,description,icon
Modinagar,29.3,few clouds,02n

Friday,32.5,46.93,clear sky,01d
Saturday,35.5,47.72,clear sky,01d
Sunday,34.57,46.15,clear sky,01d
city,temperature,description,icon
Bikaner,42.04,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,30.07,42.04,clear sky,01d
Thursday,32.04,44.37,clear sky,01d
Friday,32.56,45.6,clear sky,01d
Saturday,31.83,44.28,clear sky,01d
Sunday,30.9,43.56,clear sky,01d
city,temperature,description,icon
Amravati,39.39,overcast clouds,04d

day,min_temp,max_temp,description,icon
Wednesday,29.84,39.4,light rain,10d
Thursday,31.2,41.09,light rain,10d
Friday,30.4,38.14,light rain,10d
Saturday,29.35,40.61,overcast clouds,04d
Sunday,32.14,43.91,clear sky,01d
city,temperature,description,icon
Noida,40.74,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,31.97,41.44,clear sky,01d
Thursday,34.17,45.33,clear sky,01d
Friday,36.14,46.31,scattered clouds,03d
Saturday,37.83,47.73,clear sky,01d
Sunday,37.71,46.74,clear sky,01d
city,temperature,description,icon
Jamshedpur,40.36,broken clouds,04d

day,min_temp,max_temp,description,icon
Wednesday,29.05,40.4,overcast clouds,04d
Thursday,29.98,42.51,scattered clouds,03d
Friday,30.56,43.82,overcast clouds,04d
Saturday,32.9,39.09,overcast clouds,04d
Sunday,29.64,44.27,broken clouds,04d
city,temperature,description,icon
Bhilai,38.07,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,30.33,39.7,broken clouds,04d
Thursday,30.36,42.01,overcast clouds,04d
Friday,29.89,34.56,overcast clouds,04d
Saturday,29.58,40.08,broken clouds,04d
Sunday,30.8,43.73,scattered clouds,03d
city,temperature,description,icon
Firozabad,43.42,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,30.39,43.51,clear sky,01d
Thursday,31.65,45.75,clear sky,01d
Friday,33.0,47.25,scattered clouds,03d
Saturday,34.23,48.32,scattered clouds,03d
Sunday,35.65,48.11,clear sky,01d
city,temperature,description,icon
Kochi,33.99,broken clouds,04d

day,min_temp,max_temp,description,icon
Wednesday,25.9,33.99,light rain,10d
Thursday,25.32,30.75,moderate rain,10d
Friday,26.03,30.48,light rain,10d
Saturday,25.97,29.71,moderate rain,10d
Sunday,25.91,29.97,moderate rain,10d
city,temperature,description,icon
Nellore,33.62,broken clouds,04d

day,min_temp,max_temp,description,icon
Wednesday,27.17,37.09,overcast clouds,04d
Thursday,27.52,36.54,overcast clouds,04d
Friday,27.13,36.89,moderate rain,10d
Saturday,28.28,37.88,moderate rain,10d
Sunday,28.44,39.73,overcast clouds,04d
city,temperature,description,icon
Dehradun,36.19,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,22.6,37.19,clear sky,01d
Thursday,24.07,40.78,clear sky,01d
Friday,25.79,42.84,clear sky,01d
Saturday,26.69,43.37,light rain,10d
Sunday,26.69,43.68,clear sky,01d
city,temperature,description,icon
Ajmer,41.16,broken clouds,04d

day,min_temp,max_temp,description,icon
Wednesday,26.26,41.18,few clouds,02d
Thursday,28.26,42.53,clear sky,01d
Friday,28.94,43.59,scattered clouds,03d
Saturday,29.48,41.99,clear sky,01d
Sunday,28.07,41.61,clear sky,01d
city,temperature,description,icon
Jhansi,42.56,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,30.09,42.56,clear sky,01d
Thursday,32.61,44.8,clear sky,01d
Friday,33.94,45.27,overcast clouds,04d
Saturday,33.03,46.68,scattered clouds,03d
Sunday,36.04,46.58,broken clouds,04d
city,temperature,description,icon
Jammu,39.21,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,24.14,39.73,clear sky,01d
Thursday,25.89,42.74,clear sky,01d
Friday,27.13,44.96,clear sky,01d
Saturday,28.16,45.49,scattered clouds,03d
Sunday,27.51,45.23,clear sky,01d
city,temperature,description,icon
Mangalore,32.48,few clouds,02d

day,min_temp,max_temp,description,icon
Wednesday,27.05,32.48,moderate rain,10d
Thursday,27.35,31.87,moderate rain,10d
Friday,25.83,29.94,moderate rain,10d
Saturday,26.68,31.34,moderate rain,10d
Sunday,27.15,28.98,light rain,10d
city,temperature,description,icon
Udaipur,38.5,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,26.21,38.51,broken clouds,04d
Thursday,28.45,40.23,broken clouds,04d
Friday,29.69,40.68,scattered clouds,03d
Saturday,28.9,40.21,few clouds,02d
Sunday,28.04,39.46,clear sky,01d
city,temperature,description,icon
Kurnool,36.93,few clouds,02d

day,min_temp,max_temp,description,icon
Wednesday,27.27,36.93,light rain,10d
Thursday,28.7,36.28,light rain,10d
Friday,27.13,33.19,moderate rain,10d
Saturday,27.45,34.45,moderate rain,10d
Sunday,29.13,37.01,light rain,10d
city,temperature,description,icon
Patiala,42.34,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,28.14,42.34,clear sky,01d
Thursday,29.43,45.17,clear sky,01d
Friday,31.54,46.47,clear sky,01d
Saturday,32.78,47.64,clear sky,01d
Sunday,33.4,46.76,clear sky,01d
city,temperature,description,icon
Gopalpur,31.04,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,27.74,32.17,scattered clouds,03d
Thursday,28.86,33.49,overcast clouds,04d
Friday,28.35,34.01,scattered clouds,03d
Saturday,28.56,34.2,light rain,10d
Sunday,29.13,32.72,overcast clouds,04d
city,temperature,description,icon
Agartala,36.01,few clouds,02d

day,min_temp,max_temp,description,icon
Wednesday,26.02,37.47,broken clouds,04d
Thursday,26.73,37.97,scattered clouds,03d
Friday,27.06,38.5,light rain,10d
Saturday,27.23,38.07,light rain,10d
Sunday,27.96,36.81,light rain,10d
city,temperature,description,icon
Muzaffarnagar,42.19,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,26.58,42.32,clear sky,01d
Thursday,27.56,45.36,clear sky,01d
Friday,30.14,47.12,clear sky,01d
Saturday,30.76,48.3,clear sky,01d
Sunday,33.41,47.83,few clouds,02d
city,temperature,description,icon
Tirupati,37.57,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,24.29,37.57,light rain,10d
Thursday,23.66,33.36,light rain,10d
Friday,23.54,32.23,light rain,10d
Saturday,24.63,34.47,light rain,10d
Sunday,24.45,35.3,light rain,10d
city,temperature,description,icon
Rohtak,42.7,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,29.0,42.76,clear sky,01d
Thursday,31.18,45.38,clear sky,01d
Friday,32.18,46.83,few clouds,02d
Saturday,33.24,47.85,clear sky,01d
Sunday,35.12,46.99,clear sky,01d
city,temperature,description,icon
Korba,40.28,broken clouds,04d

day,min_temp,max_temp,description,icon
Wednesday,28.01,40.71,light rain,10d
Thursday,29.8,42.99,broken clouds,04d
Friday,31.06,40.58,overcast clouds,04d
Saturday,29.49,40.39,overcast clouds,04d
Sunday,27.94,44.88,few clouds,02d
city,temperature,description,icon
Ahmednagar,35.47,scattered clouds,03d

day,min_temp,max_temp,description,icon
Wednesday,27.51,35.93,light rain,10d
Thursday,28.05,37.29,light rain,10d
Friday,25.61,35.95,light rain,10d
Saturday,26.64,37.91,overcast clouds,04d
Sunday,28.34,39.0,clear sky,01d
city,temperature,description,icon
Mathura,43.49,clear sky,01d

day,min_temp,max_temp,description,icon
Wednesday,29.82,43.53,few clouds,02d
Thursday,30.88,45.66,few clouds,02d
Friday,33.93,47.27,broken clouds,04d
Saturday,32.71,48.25,few clouds,02d
Sunday,35.39,47.63,clear sky,01d
city,temperature,description,icon
Avadi,32.66,scattered clouds,03d

